,wiki_id,character,adj,active,patient
0,31186339,Haymitch Abernathy,[],['warns'],[]
1,31186339,Snow,[],"['summons', 'considers']",[]
2,31186339,Katniss,[],"['taken', 'survives', 'drops', 'warned', 'runs', 'shoots', 'presented', 'searches', 'promises', 'wounds', 'shoots']","['gave', 'find', 'tormenting', 'spares', 'force', 'tells', 'warns']"
3,31186339,Peeta Mellark,['son'],"['reveals', 'meant', 'forms', 'begs', 'tells']",[]
4,31186339,Primrose Everdeen,['old'],['chosen'],[]
5,31186339,Seneca Crane,['Gamemaker'],"['changes', 'locked']","['summons', 'convince']"
6,31186339,Rue,['dying'],"['draws', 'cares', 'draw', 'trapped']","['hears', 'stab', 'comforts', 'killing']"
7,31186339,Cato,[],['kills'],"['encounter', 'wounds', 'shoots']"
8,31186339,Caesar Flickerman,[],[],[]
9,20663735,Jayakrishnan,['friend'],[],[]
10,20663735,Nandagopal Maarar,['friend'],['appears'],[]
11,20663735,Chandrabhanu,['uncle'],[],[]
12,20663735,Manapally Pavithran,[],['arrives'],"['thwarts', 'confronting', 'injuring']"
13,20663735,Indulekha,[],['found'],"['named', 'killing', 'killing']"
14,20663735,Saikumar,[],['enters'],[]
15,20663735,Raman Nair,[],[],[]
16,20663735,Ramakrishnan,['son'],[],[]
17,20663735,Mooppil Nair,[],[],[]
18,20663735,Anuradha,[],[],['accepts']
19,20663735,Kanaka,"['[', '[', 'is']",[],[]
20,20663735,DYSP Sankaranarayanan,"['his', 'crony']",[],[]
21,20663735,Moopil Nair,['Pavithran'],[],[]
22,20663735,Maranchery Karunakara Menon,[],"['returns', 'refuses', 'regrets', 'accused', 'judged', 'suffers']",[]
23,20663735,Manapally Madhavan Nambiar,['minister'],[],[]
24,2231378,Kid,['swindler'],"['touting', 'comes', 'convinces', 'provide', 'make', 'decides', 'makes', 'notices', 'learns', 'converts', 'plans', 'learns', 'pay', 'manages', 'enters', 'returns', 'reimburse', 'turns', 'hold', 'assures']",['sentenced']
25,2231378,Santa Claus,['cornerside'],[],['notices']
26,2231378,Nellie,[],[],['meet']
27,2231378,Henry,['husband'],[],[]
28,2231378,Brainy Baxter,['overjoyed'],"['arrives', 'decides', 'informs', 'tracks', 'escape']",['tries']
29,2231378,Charley,"['Oxford', 'Oxford']","['decides', 'kidnap', 'reveals', 'moving', 'sent', 'demands']","['visits', 'pay', 'overpowers']"
30,2231378,Moose Moran,['notorious'],"['arrives', 'arrested']",['pay']
31,595909,Michael Chamberlain,"['wife', 'sons']","['uses', 'found']",[]
32,595909,Chamberlains,[],[],[]
33,595909,Azaria,"['daughter', 'name']",['wearing'],[]
34,595909,Lindy,['wife'],"['returns', 'saw', 'seems', 'charged', 'found', 'insisted']",[]
35,5272176,Jack Baldwin,[],"['escapes', 'escaped']","['called', 'kills']"
36,5272176,Alex Thomas,[],[],[]
37,5272176,Steven,[],[],[]
38,5272176,Vaughan Stevens,['boss'],['handed'],['find']
39,5272176,Alex Thomas's,[],[],[]
40,5272176,Thomas jumps,"['bodyguard', 'kill']","['sees', 'jumps', 'attack', 'discovers', 'leaves', 'arrives', 'sees', 'arrives', 'arrives', 'discovers', 'says']",[]
41,5272176,Kate Crawford,['journalist'],"['starts', 'stays', 'attacked', 'have']",['throws']
42,1952976,Dahlia,"['girl', 'grown']","['wants', 'see', 'agrees', 'enters', 'complains', 'has', 'looks', 'declines', 'discovers', 'reached', 'breaks', 'agrees', 'read', 'rushes', 'pleads', 'die']","['see', 'begs']"
43,1952976,Kyle,['husband'],"['wants', 'threatens', 'picks', 'picks', 'braided']",[]
44,1952976,Murray,[],"['promises', 'questioned']",[]
45,1952976,Cecilia,['daughter'],"['live', 'sneaks', 'wants', 'finds', 'appears', 'taking', 'go', 'has']","['promises', 'tells', 'save', 'locks', 'picks']"
46,1952976,Natasha Rimsky,[],"['begs', 'locks', 'lets']","['named', 'ignore', 'reads']"
47,1952976,Veeck,[],"['said', 'left', 'arrested']",[]
